         -36          -6
           5          -3
         -18          -8
          -5         -33
          30           2
         -13          15
          23           5
         -33         -25
         -22         -34
           8         -46
         -19          29
          22          18
         -25          33
          32         -24
          -7         -15
          -9          35
         -33           3
         -44         -18
          12          -2
           7           1
         -46          18
         -16          30
          -7          13
           0         -54
         -14         -22
         -22         -12
         -29         -27
          -2          18
           4           6
           4           6
         -10          10
          27           5
         -37           1
         -28          -6
         -20           6
          -1          25
          11          39
         -16          16
         -16          -2
         -14          34
          13          33
         -26          20
         -19         -35
          -2         -12
         -23          -5
          28          14
         -13          33
         -20          -4
          13         -13
          20           8
           5           9
         -17          -5
         -11          33
          19          15
          23         -37
          42          -4
         -12         -12
         -12         -36
         -55          25
         -15          27
           2          12
          16          10
         -33         -23
           0         -20
          20          42
           2          -2
          24          12
           5           9
         -25           3
          26         -16
         -11          13
           1           3
          11         -19
          33          -3
